#Types Before Cut: 11091
#Types After Cut: 9682
#Search Hits: 0
243	17	33.433	получилось
244	15	32.827	будешь
245	15	32.827	понял
246	15	32.827	поняла
247	24	32.469	принципе
248	18	32.260	дом
249	12	31.751	берег
250	12	31.751	детстве
251	12	31.751	квартиру
252	12	31.751	круто
253	12	31.751	поговорить
254	12	31.751	пятьдесят
255	12	31.751	смешно
256	34	31.162	голос
257	16	31.016	ходили
258	16	31.016	школа
259	16	31.016	языке
260	20	30.996	дочка
261	28	30.918	таки
262	21	30.677	хоть
263	21	30.677	язык
264	36	30.597	две
265	14	30.315	домой
266	49	30.053	всегда
267	17	29.931	давайте
268	17	29.931	пошла
269	11	29.105	inan
270	11	29.105	давали
271	11	29.105	девочки
272	11	29.105	девяносто
273	11	29.105	здорово
274	11	29.105	знала
275	11	29.105	кадра
276	11	29.105	классно
277	11	29.105	кхм
278	11	29.105	понимаешь
279	11	29.105	расскажу
280	11	29.105	рассказчик
281	11	29.105	смеётся
282	11	29.105	смотри
283	11	29.105	соседка
284	11	29.105	училась
285	11	29.105	холодно
286	26	28.830	самое
287	26	28.830	смысле
288	19	28.807	зачем
289	19	28.807	младший
290	113	28.682	даже
291	21	28.410	жить
292	156	28.177	или
293	13	27.812	концерт
294	13	27.812	семья
295	13	27.812	спать
296	13	27.812	ходить
297	13	27.812	честно
298	17	27.008	моей
299	18	26.639	понимаю
300	18	26.639	фильм
301	10	26.459	бывают
302	10	26.459	вкус
303	10	26.459	восемьдесят
304	10	26.459	дед
305	10	26.459	дедушка
306	10	26.459	ехать
307	10	26.459	забыл
308	10	26.459	иии
309	10	26.459	картинка
310	10	26.459	кашель
311	10	26.459	нуу
312	10	26.459	озеро
313	10	26.459	пол
314	10	26.459	прикольно
315	10	26.459	ребята
316	10	26.459	слушай
317	10	26.459	смешок
318	10	26.459	собака
319	10	26.459	ушёл
320	19	26.435	н
321	19	26.435	слово
322	22	26.434	какую
323	22	26.434	часов
324	14	26.225	собственно
325	27	25.984	моя
326	12	25.320	вдруг
327	12	25.320	весело
328	12	25.320	делаю
329	12	25.320	купил
330	12	25.320	любят
331	16	24.797	читать
332	35	24.417	четыре
333	20	24.371	друг
334	20	24.371	места
335	18	24.351	тему
336	29	24.058	старший
337	13	23.856	какими
338	13	23.856	маленький
339	13	23.856	машина
340	9	23.813	n
341	9	23.813	ар
342	9	23.813	видишь
343	9	23.813	грустный
344	9	23.813	двенадцать
345	9	23.813	двести
346	9	23.813	женщина
347	9	23.813	кошки
348	9	23.813	переехали
349	9	23.813	подожди
350	9	23.813	смесь
351	9	23.813	танцами
352	9	23.813	учителя
353	9	23.813	чай
354	9	23.813	эмм
355	39	23.395	людей
356	27	23.266	каждый
357	14	23.057	мои
358	14	23.057	хотелось
359	146	22.983	был
360	36	22.887	одна
361	11	22.841	квартире
362	21	22.773	долго
363	15	22.610	ж
364	15	22.610	играть
365	16	22.379	девять
366	18	22.315	русский
367	27	22.019	слова
368	29	21.711	сама
369	12	21.507	нравятся
370	8	21.168	acc
371	8	21.168	komm
372	8	21.168	nom
373	8	21.168	ааa
374	8	21.168	английский
375	8	21.168	брови
376	8	21.168	вертолет
377	8	21.168	говорящийа
378	8	21.168	говорящийб
379	8	21.168	грустно
380	8	21.168	делаешь
381	8	21.168	егэ
382	8	21.168	замечательно
383	8	21.168	иду
384	8	21.168	интересного
385	8	21.168	колесико
386	8	21.168	любишь
387	8	21.168	лёва
388	8	21.168	мамой
389	8	21.168	мемы
390	8	21.168	моих
391	8	21.168	надя
392	8	21.168	неудобно
393	8	21.168	никит
394	8	21.168	одиннадцать
395	8	21.168	поехал
396	8	21.168	прихожу
397	8	21.168	смотрел
398	8	21.168	смотрела
399	8	21.168	студентов
400	8	21.168	типо
401	8	21.168	умер
402	8	21.168	учился
403	8	21.168	учится
404	8	21.168	хе
405	8	21.168	эт
406	50	21.043	день
407	13	20.813	бывает
408	13	20.813	говорила
409	13	20.813	специально
410	19	20.683	павел
411	40	20.491	говорить
412	14	20.451	d
413	14	20.451	вещи
414	10	20.377	интересные
415	10	20.377	рассказывала
416	16	20.270	видео
417	28	20.169	совсем
418	30	20.053	чего
419	11	19.182	знаете
420	11	19.182	отец
421	11	19.182	пошел
422	153	19.022	еще
423	12	18.598	делали
424	12	18.598	купить
425	12	18.598	семье
426	17	18.593	кем
427	7	18.522	бабушкой
428	7	18.522	боже
429	7	18.522	буквы
430	7	18.522	двери
431	7	18.522	детство
432	7	18.522	детьми
433	7	18.522	друзьями
434	7	18.522	ездить
435	7	18.522	ехали
436	7	18.522	живёт
437	7	18.522	забыла
438	7	18.522	задание
439	7	18.522	карл
440	7	18.522	квартиры
441	7	18.522	красивый
442	7	18.522	ненавижу
443	7	18.522	нету
444	7	18.522	ноль
445	7	18.522	понравилась
446	7	18.522	пошёл
447	7	18.522	пытаюсь
448	7	18.522	сорок
449	7	18.522	супер
450	7	18.522	троих
451	7	18.522	троллейбус
452	7	18.522	человечек
453	7	18.522	читаю
454	7	18.522	чё
455	16	18.404	реально
456	16	18.404	уж
457	13	18.325	смотреть
458	13	18.325	улице
459	14	18.240	надеюсь
460	9	17.931	брали
461	9	17.931	едем
462	9	17.931	жил
463	9	17.931	институте
464	9	17.931	историю
465	9	17.931	маленькая
466	9	17.931	мое
467	9	17.931	нечего
468	9	17.931	папа
469	9	17.931	смеется
470	9	17.931	твой
471	9	17.931	твоя
472	27	17.650	ей
473	17	17.014	разные
